SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
SOSALE001 - 001,Sosa - Soy Lecithin Powder - 400g,72.0,6.0,8.33,176.3,29.38
MAY25A - 005,QP Japanese Mayonnaise Condiment Sauce 450g (Box of 20),72.0,1.0,1.39,100.28,100.28
BAK06B - 001,Chef William Baking Powder 1 x 800g,72.0,3.0,4.17,23.58,7.86
DES04,Callebaut White Chocolate Mousse Powder 800 g,71.0,2.0,2.82,49.24,24.62
ORI85 - 005,Bull-Dog Vegetable & Fruit Tonkatsu Sauce 16.9 Fl. Oz. 16.9 Fl Oz (Pack of 2),71.0,4.0,5.63,50.76,12.69
PRIME004,Callebaut White Chocolate Mousse Powder 800 g,71.0,9.0,12.68,227.61,25.29
DEC01 - 001 Prime,Parkers - CHOCOLATE mini EGGS - 1kg (1 Pack),71.0,3.0,4.23,57.42,19.14
STO22,Essential Cuisine - Fish Stock Mix - 700g,70.0,6.0,8.57,162.24,27.04
STO20A,Essential Cuisine Vegetable Stock Mix 800 g,69.0,3.0,4.35,74.49,24.83
ORI40,Yutaka Japanese Katsu Curry Paste (1 x 1 kg),69.0,10.0,14.49,199.7,19.97
BAK05C - 002,Bicarbonate of soda - Baking Soda 1kg Jar - Chef William - Large Shaker Jar,69.0,1.0,1.45,6.3,6.3
CAL99,"Saver Bundle Callebaut, Milk & 54% Dark Chocolate Chips (2 x 2.5kg Bundle)",68.0,4.0,5.88,407.08,101.77
GHE06 - 002 Prime,Mrs Elswood Catering Whole Sweet Gherkins 2.5kg,68.0,8.0,11.76,97.64,12.2
TWIN005 - 003,"Twinings Cranberry & Raspberry Fruit Infusion Tea Bags, 12 boxes of 20 individually wrapped enveloped tea bags, 240 total.",68.0,2.0,2.94,57.96,28.98
ORI04D - 004 Prime,FLYING GOOSE Hoi Sin Sauce 1 x 730 ml,68.0,9.0,13.24,85.86,9.54
ORI04D - 004,FLYING GOOSE Hoi Sin Sauce 1 x 730 ml,68.0,4.0,5.88,35.48,8.87
ALP01 - 001 Prime,"Alpro - Milk For Professionals - 1ltr (2, Soya)",68.0,7.0,10.29,65.89,9.41
AFT04B - 002,Whitakers Mints 1Kg (Mint Crisps 1kg),68.0,5.0,7.35,104.8,20.96
CHR04C - 001,"Matthew Walker Festive Catering Classic Christmas Pudding, Vegan Friendly, 100 g (Pack of 36)",68.0,3.0,4.41,144.27,48.09
CAL03P uk shipping,"Saver Bundle Callebaut, Milk Chocolate Chips (2 x 2.5kg Bundle)",67.0,1.0,1.49,102.51,102.51
SUG16 - 003 Prime,BÚghin Say La Perruche Pure Cane White Rough Cut Cubes 1kg SUWH1K,67.0,6.0,8.96,52.14,8.69
CAL03P,"Saver Bundle Callebaut, Milk Chocolate Chips (2 x 2.5kg Bundle)",67.0,11.0,16.42,1133.88,103.08
FRU17 - 001 Prime,Brover Tinned Amarena Cherries 910gm (1),66.0,12.0,18.18,182.4,15.2
HEI03A - 001,Heinz/HP Texan Style BBQ Sauce 2.15Ltr,66.0,2.0,3.03,28.16,14.08
CRI31 uk shipping,Brown Bag Crisps Sea Salt And Vinegar 40 g (Pack of 20),66.0,5.0,7.58,81.25,16.25
TATECA001 - 010 Prime,Tate & Lyle Caster Sugar ( 2Kg x 1 ),66.0,2.0,3.03,16.92,8.46
SOUTHD004 - 001,South Downs Water Sparkling Glass 12 x 750ml,66.0,14.0,21.21,293.6,20.97
CER32 - 002,"Quaker Oat Raisin Granola, 500 g (Pack of 5)",66.0,1.0,1.52,23.92,23.92
CRI31,Brown Bag Crisps Sea Salt And Vinegar 40 g (Pack of 20),66.0,5.0,7.58,88.05,17.61
COLAVI004 - 001 Prime,"Colavita Olive Oil (1, Colavita 100% Greek Extra Virgin Olive Oil)",65.0,4.0,6.15,53.64,13.41
CAL03 - 011 Prime,"Callebaut - 823-33.6% Milk Chocolate Callets - 2.5kg - (Sold by Parkers Foodservice) (Pack of 2, 2500, gram)",65.0,1.0,1.54,103.06,103.06
MED33C - 001 Prime,Caterers Pride Red Sweet Drop Peppers 800gm,65.0,2.0,3.08,19.98,9.99
TATECA001 - 002,Tate & Lyle Caster Sugar - 6x2kg,64.0,12.0,18.75,282.74,23.56
TATECA001 - 002 uk shipping,Tate & Lyle Caster Sugar - 6x2kg,64.0,1.0,1.56,23.98,23.98
OIL12 - 001,"Parkers Wignals Yallo Cold Pressed British Rapeseed Oil 5ltr, Golden Yellow",63.0,1.0,1.59,25.8,25.8
MEA03A - 003 Prime,Hertford Retail Corned Beef 340gm,63.0,7.0,11.11,59.36,8.48
BAK09 - 001 Prime,Gold Leaf Gelatine 1KG,63.0,9.0,14.29,311.13,34.57
UHT31B - 002 Prime,"Jersey Ice Cream Mix 1ltr (2, Luxury)",63.0,5.0,7.94,65.84,13.17
Bundle - 092 Prime,WHITE and MILK Chocolate Chunks - 2 x 2.5kg Compatible with Callebaut,63.0,4.0,6.35,389.88,97.47
JUI18A - 006 Prime,"Biona Pressed Carrot Juice 500ml (6, Beetroot)",63.0,10.0,15.87,210.5,21.05
BOU04 - 001,"Knorr Gluten Free Clear Fish Paste Bouillon, 1kg",63.0,11.0,17.46,355.08,32.28
CON05 - 002 Prime,Tabasco« Brand Pepper Sauce - 12 oz. bottle,63.0,2.0,3.17,32.14,16.07
MED10 - 004 Prime,"Baba Ghanoush , Eggplant Dip (380g - 13.5oz)",63.0,12.0,19.05,105.36,8.78
BAK09 - 001,Gold Leaf Gelatine 1KG,63.0,2.0,3.17,67.8,33.9
ESS20 - 001,N/Massey Rose Water Extract,62.0,3.0,4.84,24.78,8.26
PUREE007 - 001 Prime,Ravifruit Mango Purée 1kg,62.0,4.0,6.45,59.2,14.8
CRUSHA003 - 004,"Crusha Milk Shake Syrup 1ltr (Strawberry, Pack of 12)",62.0,1.0,1.61,61.84,61.84
CER05A - 001,Morning Foods Stabilised Oats 25 kg,61.0,5.0,8.2,162.8,32.56
