(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0B6RW2PX3,B0B6RV5NLG,Heinz Tomato Ketchup 342g x Case of 10,HEI02 - 004,80,11,0.04%,0.18%,94,17,0.03%,0.20%,91.95%,100.00%,15,7,18.75%,63.64%,£377.70,£175.76,13,5
B0D1878TX3,B0D1878TX3,Chef Approved - Black Pepper Sachets - 1 x 2000,CORESA008 - 001 Prime,23,9,0.01%,0.15%,24,10,0.01%,0.12%,91.30%,88.89%,16,7,69.57%,77.78%,£248.24,£108.50,13,5
B0D2M6HYHD,B0D2LV8VTM,"Thai Uncooked Prawn Crackers 500g-10kg, Delicious Shrimp Chips in 10 seconds Fry (3x500g)",ACC02 - 005,125,4,0.06%,0.06%,162,4,0.06%,0.05%,91.33%,100.00%,13,0,10.40%,0.00%,£208.43,£0.00,13,0
B0DPJ458LV,B0DPJ458LV,"Centaur / Hazlemere Premium Duck Fat – 1kg | Ideal for Roasting, Frying & Gourmet Cooking",FAT03C - 001,70,2,0.03%,0.03%,100,2,0.04%,0.02%,100.00%,100.00%,17,0,24.29%,0.00%,£240.84,£0.00,13,0
B0DXL8V4R1,B0DTV3Q76H,Jersey Dairy Luxury Soft Mix Ice Cream,UHT31B - 005,"1,361",16,0.62%,0.26%,"1,824",31,0.64%,0.37%,18.19%,0.00%,17,0,1.25%,0.00%,£151.91,£0.00,13,0
B004TEZJ5O,B004TEZJ5O,"Eager Tomato Juice 100% Pressed, Refreshing Fruit Drink, NFC Not From Concentrate, 1 Litre (Pack of 8)",EAGERT001 - 001,456,11,0.21%,0.18%,588,14,0.21%,0.17%,6.38%,0.00%,12,0,2.63%,0.00%,£347.26,£0.00,12,0
B00JRCZ6CY,B00JRCZ6CY,Callebaut Milk Chocolate Mousse Powder x 800g bag,DES03 - 007,81,4,0.04%,0.06%,109,7,0.04%,0.08%,47.06%,100.00%,17,2,20.99%,50.00%,£296.65,£34.98,12,2
B076QKSQFC,B076QKSQFC,McDougalls Fish Batter Mix - 1x3.5kg,MCD05,34,1,0.02%,0.02%,47,1,0.02%,0.01%,56.82%,100.00%,15,1,44.12%,100.00%,£255.35,£17.77,12,1
B077B647JD,B077B647JD,Country Range Strawberry Jam Portions - 100 x 20g,JAM03C - 006,153,11,0.07%,0.18%,193,18,0.07%,0.21%,19.89%,40.00%,13,2,8.50%,18.18%,£196.65,£30.18,12,2
B0B9FRDBF5,B08R7LDBTZ,Essential Cuisine Lobster Glace 600g,GLA01 - 005,49,5,0.02%,0.08%,66,5,0.02%,0.06%,96.61%,100.00%,13,5,26.53%,100.00%,£462.55,£177.35,12,5
B08TRF9ZYP,B08TRF9ZYP,Whole Baby Apples in Syrup,FRU19A,38,2,0.02%,0.03%,50,3,0.02%,0.04%,86.96%,100.00%,35,3,92.11%,150.00%,£245.24,£21.00,12,3
B08WHKR88F,B08WHKR88F,Tonka Beans 250g Centaur,KZ-ITK0-EINK uk shipping,33,5,0.01%,0.08%,40,5,0.01%,0.06%,97.30%,100.00%,14,8,42.42%,160.00%,£341.74,£195.28,12,6
B095WLCK5T,B095WLCK5T,Callebaut | Gold | 30.4% Finest Belgian Caramel Chocolate Couverture (Callets) | 400g,CAL32A - 002 Prime,275,3,0.12%,0.05%,353,3,0.12%,0.04%,31.17%,0.00%,12,0,4.36%,0.00%,£160.74,£0.00,12,0
B09RV19H2N,B09RV19H2N,Buchanans Mixed Dried Fruit Selection with Peel (3kg) | Perfect for Baking Fruit Cakes and Loaves | Suitable for Vegan & Vegetarian,DRIMIX001-002,45,0,0.02%,0.00%,62,0,0.02%,0.00%,91.07%,0.00%,12,0,26.67%,0.00%,£225.22,£0.00,12,0
B0B99329X1,B0B99329X1,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,UHT03B - 002 Prime,92,5,0.04%,0.08%,110,8,0.04%,0.10%,100.00%,100.00%,16,9,17.39%,180.00%,£797.07,£448.41,12,5
B0C3MHTFHM,B0C3MHTFHM,Callebaut Milk Couverture Power 41 Chocolate 2.5kg,CAL09 - 002 One Day,599,22,0.27%,0.36%,777,32,0.27%,0.38%,11.06%,4.00%,12,1,2.00%,4.55%,£454.63,£38.50,12,1
